GEOID,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras
36047050700,5.651924117539256,2.2574823273225135,12,4
36047050801,2.6493301048018183,0.7772386826526313,5,1
36047050803,1.4906871065568903,0,8,0
36047050804,1.993751333123736,0.590412854014446,4,0
36047050900,2.69574619503457,0,4,0
36047051001,1.6298823778104587,1.0258682393518843,4,2
36047051002,3.3764496260788666,0.2922022702568313,6,1
36047051100,0.6236259170848989,0,0,0
36047051200,1.675288166097412,0,3,0
36047051300,2.720841412244207,0.8374758995053324,5,1
36047051400,1.9857958073305062,2.644499850386355e-4,5,0
36047051500,3.4474945369699403,1.1088772393778688,4,2
36047051601,2.246190323142571,0.3188656193733094,4,0
36047051602,2.0583296869404224,0.6122708044859326,3,1
36047051700,3.555701666880897,1.2698589729960057,4,2
36047051800,3.850608512975925,1.4226900294807465,8,1
36047051900,3.430345037416557,0.40892105294170905,5,0
36047052000,2.9986497553896285,1.2310577664697746,7,6
36047052300,2.3762270183042573,1.4300430579850705,4,4
36047052500,4.434804745576074,0.872538891547251,9,3
36047052600,1.2514671979687026,0,3,0
36047052700,3.3790265615659094,1.0629087749318278,6,1
36047052800,2.730927205678942,0.4804487905232284,3,0
36047052900,2.914128834997654,0.6327841343936508,2,1
36047053000,5.145834929592038,2.0093627199342654,7,2
36047053100,4.999118307568096,1.1267447157846973,7,2
36047053200,5.130327945739301,1.5442843545897023,10,4
36047053300,4.591845333617663,1.2784025349534605,8,1
36047053400,3.9135984327697204,1.2522840767044154,8,4
36047053500,6.77989482384101,2.1862771753833137,17,4
36047053700,6.077168933959954,1.6698726649632847,11,3
36047053800,1.0028703699199397,0.5025307815290349,1,1
36047053900,6.113994113007335,1.3993211748876515,13,4
36047054200,0.5609842756793777,0,0,0
36047054300,9.08292170667177,2.423214427785036,18,2
36047054400,0.9995431365003262,0.4442903522138863,1,0
36047054500,7.225876042059043,1.804610818314568,17,4
36047054600,2.746746730945411,0.6458756876389337,4,1
36047054700,4.588618708437997,2.0856570702573034,10,5
36047054800,2.7471566447166564,0.8616471043284144,4,2
36047054900,1.9500322054733625,0.06585079649354135,6,0
36047055000,0.9151978343712566,0.001352664518770461,2,0
36047055100,0.22391937542720122,0,0,0
36047055200,0.15819064810248348,0,0,0
36047055300,0.007058579190816432,0,0,0
36047055400,1.2638432974285694,0.060655260022826764,1,0
36047055600,2.5620193750608946,1.2749681162114601,2,1
36047055700,1.9007093055967248,0.9995431365010568,2,1
36047055800,2.4484365828581174,0.5229722794732462,3,1
36047056000,0.9995431365011525,0.4386393924296398,1,0
36047056100,2.286293814627896,0.49388990760958584,2,0
36047056200,0.27442932016374916,0,0,0
36047056400,0.9995431365006474,0.24877617492259688,1,0
36047056500,0.999543136500793,0.5056532288912414,1,1
36047056800,0.9995431365006436,0.318950606557365,1,0
36047056900,2.8069330493921605,0.7292273000057752,3,0
36047057000,1.3080580158982953,0.48528675893346396,1,1
36047057100,1.8958628377612894,0.9995431365001809,2,1
36047057200,1.5423491359754318,0.0570028966126378,1,0
36047057300,3.722630913642306,0.4426536933040355,8,0
36047057500,0.7890524323274487,0,0,0
36047057600,0.6148570510036806,0,1,0
36047057800,0.9995431365011525,0.5410929951371378,1,1
36047057900,4.4150659791863935,3.0745033802742006,10,10
36047058000,1.5717516077517055,0,2,0
36047058200,2.2992459949013644,1.0397338724179963,3,1
36047058400,1.480776174785344,0.4595113258410445,1,0
36047058600,1.0050234756647694,0,1,0
36047058800,1.7198147988234702,0.1983159046262298,2,0
36047058900,4.107766798386196,1.6828382640188284,8,1
36047059000,0.99954313650051,0.99954313650051,1,1
36047059100,1.702281779612564,0.5293858218189912,1,1
36047059200,1.2903055855393142,0,2,0
36047059300,1.9900899331554331,0.04715248971913477,2,0
36047059401,2.4538835820268794,0.7375266240238402,4,1
36047059402,0.4980941922955343,0,0,0
36047059600,2.739005950164247,0.5951497132682159,4,0
36047059800,3.75392487533408,1.1840215050458962,4,2
36047060000,5.7672036960575515,1.689576863217376,8,3
36047060600,1.9128019912057632,0.22501842583096252,2,0
36047060800,5.274616215258869,2.1795906214301692,6,4
36047061002,1.7963772714078237,0.5748481896391416,2,0
36047061003,1.0099950149175243,0.10321462112382053,1,0
36047061004,1.8326790127143022,0.19700685800902792,2,1
36047061200,1.3072896672441405,0.6826547031466292,2,1
36047061600,1.9990862730013181,1.1174246633664442,5,4
36047062000,1.7393655009167526,0.10980656198670055,3,0
36047062200,3.2507489128317473,0.10389468343961686,4,0
36047062600,3.049513376960568,2.1225232094298216,3,2
36047062800,5.818298465414803,3.897091334324127,7,5
36047063200,0.9995431365006436,0.14887871327646804,1,0
36047063800,1.0010024087755238,0.046427057733713945,1,0
36047064000,0.6568115230563066,0,1,0
36047064200,3.733712518124375,1.199495267360592,5,2
36047064400,1.58603767363122,0.367299746257975,2,0
36047064600,0.5186029792741796,0,1,0
36047064800,0.9869825983147167,0,2,0
36047065000,2.4128723250184154,0.5093849592720445,3,0
36047065200,0.9995431365008005,0.2919967259305694,1,1
36047065400,0.27363194713424954,0,0,0
36047066000,0.4984027868351229,0,0,0
36047066200,2.2184937985940656,0.8142273656131563,10,6
36047066600,2.9649757354688253,0.5132056376521618,3,2
36047067000,3.1084010736708203,0.9839950674868438,12,0
36047067200,3.613352097717999,0.8103364977095108,6,0
36047067400,2.560223307967416,0.23077127254131463,5,0
36047067600,3.857831226735821,1.2611552301550195,5,1
36047067800,1.7368775573536348,0.9995431365008312,1,1
36047068000,2.124824952377792,0.5121657922994166,4,2
36047068200,1.666667162212739,0.2641134168054655,3,2
36047068600,0.9878013013832929,0.02980802364985091,2,0
36047068800,0.07230613739306625,0,0,0
36047069000,0.30468044619572016,0,0,0
36047069200,1.3876537701708056,0,1,0
36047069601,3.2762337595494007,1.9432915630836805,3,2
36047069602,1.9860463342431711,1.4907898445425722,2,2
36047069800,3.2571111820114753,1.0729785303720307,13,5
36047070000,0.15096842058311613,0,0,0
36047070201,0.9995431365002075,0.38726792454076364,2,2
36047070202,1.6867796896997003,0.48633749884897165,4,0
36047072000,2.1558355227426786,0.4789200935543662,2,0
36047072200,3.1465986782474933,1.2097618803339292,3,0
36047072400,5.084367414874973,1.9829001746597623,5,3
36047072600,3.673112306048202,0.7906421452025345,4,0
36047072800,1.042835955459956,0,0,0
36047073000,4.121741496627796,1.1471674318250815,4,1
36047073200,1.866765251456548,0.33401421497353073,1,0
36047073400,2.59567366057602,0.07274809904948877,3,0
36047073600,5.025802915770802,1.9377037481112622,7,2
36047073800,3.954718061109341,1.453430589803347,6,3
36047074000,2.791796151672829,0.9399756718238161,4,2
36047074200,2.4493482252698557,0.4963572814031169,2,1
36047074400,1.849030682397015,0.09206994101516255,3,0
36047074600,2.9287474033452936,0.3958753047242498,4,0
36047075000,1.697281437623595,0.43181378263816067,1,0
36047075200,2.0001740334425997,0.9488757229701674,2,1
36047075400,0.13780985120585845,0,0,0
