GEOID,NAME,variable,estimate,moe
36005007000,"Census Tract 70, Bronx County, New York",white,151,101
36005007000,"Census Tract 70, Bronx County, New York",black,973,361
36005007000,"Census Tract 70, Bronx County, New York",asian,602,296
36005007000,"Census Tract 70, Bronx County, New York",latino,2423,550
36005007000,"Census Tract 70, Bronx County, New York",med_inc,50500,19433
36005007100,"Census Tract 71, Bronx County, New York",male,1301,166
36005007100,"Census Tract 71, Bronx County, New York",female,1494,213
36005007100,"Census Tract 71, Bronx County, New York",total_pop,2795,301
36005007100,"Census Tract 71, Bronx County, New York",white,52,29
36005007100,"Census Tract 71, Bronx County, New York",black,888,190
36005007100,"Census Tract 71, Bronx County, New York",asian,69,58
36005007100,"Census Tract 71, Bronx County, New York",latino,1750,276
36005007100,"Census Tract 71, Bronx County, New York",med_inc,42292,8157
36005007200,"Census Tract 72, Bronx County, New York",male,3238,475
36005007200,"Census Tract 72, Bronx County, New York",female,3017,402
36005007200,"Census Tract 72, Bronx County, New York",total_pop,6255,771
36005007200,"Census Tract 72, Bronx County, New York",white,373,270
36005007200,"Census Tract 72, Bronx County, New York",black,708,286
36005007200,"Census Tract 72, Bronx County, New York",asian,2118,697
36005007200,"Census Tract 72, Bronx County, New York",latino,2681,530
36005007200,"Census Tract 72, Bronx County, New York",med_inc,43197,11922
36005007300,"Census Tract 73, Bronx County, New York",male,1940,290
36005007300,"Census Tract 73, Bronx County, New York",female,2357,275
36005007300,"Census Tract 73, Bronx County, New York",total_pop,4297,325
36005007300,"Census Tract 73, Bronx County, New York",white,72,67
36005007300,"Census Tract 73, Bronx County, New York",black,1092,338
36005007300,"Census Tract 73, Bronx County, New York",asian,0,12
36005007300,"Census Tract 73, Bronx County, New York",latino,3050,364
36005007300,"Census Tract 73, Bronx County, New York",med_inc,22344,6194
36005007400,"Census Tract 74, Bronx County, New York",male,1781,306
36005007400,"Census Tract 74, Bronx County, New York",female,1853,265
36005007400,"Census Tract 74, Bronx County, New York",total_pop,3634,403
36005007400,"Census Tract 74, Bronx County, New York",white,79,96
36005007400,"Census Tract 74, Bronx County, New York",black,1039,259
36005007400,"Census Tract 74, Bronx County, New York",asian,0,12
36005007400,"Census Tract 74, Bronx County, New York",latino,2423,437
36005007400,"Census Tract 74, Bronx County, New York",med_inc,39537,13570
36005007500,"Census Tract 75, Bronx County, New York",male,2810,357
36005007500,"Census Tract 75, Bronx County, New York",female,3882,433
36005007500,"Census Tract 75, Bronx County, New York",total_pop,6692,583
36005007500,"Census Tract 75, Bronx County, New York",white,61,68
36005007500,"Census Tract 75, Bronx County, New York",black,2359,566
36005007500,"Census Tract 75, Bronx County, New York",asian,50,71
36005007500,"Census Tract 75, Bronx County, New York",latino,4117,455
36005007500,"Census Tract 75, Bronx County, New York",med_inc,30706,7264
36005007600,"Census Tract 76, Bronx County, New York",male,2668,435
36005007600,"Census Tract 76, Bronx County, New York",female,2643,360
36005007600,"Census Tract 76, Bronx County, New York",total_pop,5311,651
