GEOID,NAME,med.income,popn,popn.asian,popn.black,popn.female,popn.hispanic,popn.male,popn.white
36047048800,"Census Tract 488, Kings County, New York",54067,3896,932,268,2127,458,1769,2127
36047048900,"Census Tract 489, Kings County, New York",24808,3617,46,1613,2116,2078,1501,831
36047049000,"Census Tract 490, Kings County, New York",59384,5601,1160,541,2932,975,2669,3305
36047049100,"Census Tract 491, Kings County, New York",48566,7069,2243,913,3581,2784,3488,2574
36047049200,"Census Tract 492, Kings County, New York",62604,2688,654,225,1304,256,1384,1653
36047049300,"Census Tract 493, Kings County, New York",28287,7292,247,1968,3818,4074,3474,2644
36047049400,"Census Tract 494, Kings County, New York",76513,5707,1352,312,2679,855,3028,3349
36047049500,"Census Tract 495, Kings County, New York",92120,2600,247,202,1276,615,1324,1812
36047049600,"Census Tract 496, Kings County, New York",77115,4093,1117,145,2097,1257,1996,1883
36047049700,"Census Tract 497, Kings County, New York",91557,2717,335,24,1252,481,1465,2041
36047049800,"Census Tract 498, Kings County, New York",79583,4139,1358,148,2166,679,1973,2020
36047049900,"Census Tract 499, Kings County, New York",76612,1785,105,20,834,185,951,1525
36047050000,"Census Tract 500, Kings County, New York",98421,3953,771,360,2054,474,1899,2550
36047050100,"Census Tract 501, Kings County, New York",112679,3177,196,44,1754,560,1423,2540
36047050202,"Census Tract 502.02, Kings County, New York",102656,2523,101,24,1285,241,1238,2160
